,PRIO3.SAO,RAIZ4.SAO,ITUB4.SAO,IGTA3.SAO,ARZZ3.SAO,ENGI11.SAO,SLCE3.SAO,WEGE3.SAO,GGBR4.SAO,PSSA3.SAO
2019-05-17,3.738,,25.4183,34.9718,45.5483,41.2177,16.8804,8.8202,13.5589,21.5729
2019-05-20,3.766,,26.08,36.4749,46.1466,41.4382,17.2914,8.9905,13.668,21.7965
2019-05-21,3.728,,27.0806,37.4376,48.0592,42.1667,16.7752,9.1462,14.1738,22.2395
2019-05-22,3.674,,27.1128,37.3393,48.1474,42.5118,16.3929,9.1316,14.1738,22.3754
2019-05-23,3.506,,27.0563,37.3197,48.118,41.8887,16.3546,9.0002,13.8366,22.8315
2019-05-24,3.474,,26.6529,36.966,47.5197,41.1219,16.2017,8.8494,13.7374,22.6298
2019-05-27,3.596,,26.7497,37.4572,47.2353,41.5053,16.5267,8.8981,13.7077,22.45
2019-05-28,3.696,,27.5002,37.8305,46.9312,41.7641,17.1576,9.1705,14.0251,22.985
2019-05-29,3.6,,28.0166,38.1154,48.167,41.2177,17.9413,9.2873,13.9358,22.5421
2019-05-30,3.548,,28.3071,39.0486,48.7065,41.6107,18.448,9.2727,13.8366,22.9324
2019-05-31,3.474,,28.2425,39.2942,49.5304,43.1444,18.6391,9.2678,13.7573,23.2438
2019-06-03,3.5,,28.3192,39.3728,49.1773,42.9335,18.7634,9.3116,13.8267,23.6516
2019-06-04,3.476,,28.2708,40.2864,47.5688,43.3841,19.7766,9.2532,13.7473,23.5508
2019-06-05,3.39,,27.7218,40.2274,48.2553,42.7035,20.1876,9.19,13.5986,23.9455
2019-06-06,3.378,,28.0125,40.0899,48.0592,42.7514,20.1494,9.19,13.539,23.906
2019-06-07,3.36,,28.3111,40.9151,48.6476,42.8952,19.2795,9.3408,13.787,24.3446
2019-06-10,3.346,,27.9559,41.033,48.4122,42.1571,19.117,9.3554,14.035,24.3402
2019-06-11,3.26,,28.0932,41.0625,47.9218,42.4926,18.7634,9.4235,14.4516,23.6297
2019-06-12,3.144,,27.9317,40.8463,47.0293,43.1157,18.1325,9.5792,14.3425,23.4324
2019-06-13,3.23,,27.4312,42.7325,48.5201,43.5758,17.8744,9.73,14.5309,23.2438
2019-06-14,3.204,,27.4393,42.9289,48.1082,43.4416,17.4634,9.6959,14.2333,23.1999
2019-06-17,3.224,,27.407,42.5065,48.3044,43.1348,18.1612,9.8759,14.0945,23.4894
2019-06-18,3.21,,28.1174,43.2236,48.0592,43.0198,17.7789,10.0413,14.6202,23.5858
2019-06-19,3.182,,28.5614,43.3612,49.0302,43.3266,17.5303,10.2992,14.8384,23.6165
2019-06-21,3.266,,29.2072,44.2158,49.3048,43.71,17.0811,10.4257,15.0963,23.7481
2019-06-24,3.202,,29.1426,44.3337,49.138,43.0965,16.8804,10.4986,15.007,23.6078
2019-06-25,3.136,,28.7794,43.479,48.4024,42.3201,16.9664,10.2992,14.6301,23.1736
2019-06-26,3.14,,29.4655,43.7148,47.912,42.3201,16.823,10.2894,14.9673,23.2957
2019-06-27,3.09,,29.2637,43.9604,47.912,43.3074,16.909,10.3916,14.8681,23.0378
2019-06-28,3.154,,29.2718,45.1392,49.4627,44.1701,16.8899,10.3916,15.0764,22.9756
2019-07-01,3.182,,29.1385,44.5989,49.0883,43.7004,17.3965,10.5198,14.9078,22.8955
2019-07-02,3.134,,29.0336,44.6972,49.1671,43.5087,17.2627,10.51,14.521,23.1134
2019-07-03,3.218,,29.5343,45.2276,49.5416,44.1893,17.4634,10.5783,14.759,23.1445
2019-07-04,3.21,,29.8735,45.8367,50.251,45.1478,17.7502,10.822,15.1756,23.7847
2019-07-05,3.28,,30.2046,46.6815,51.256,44.4768,17.8649,10.9195,15.2451,24.2293
2019-07-08,3.6,,30.1238,48.2435,51.3841,45.1478,17.8362,10.9829,15.2252,24.3449
2019-07-10,3.634,,30.0431,49.3142,52.4975,46.9115,17.3009,11.5483,15.1855,24.4516
2019-07-11,3.656,,30.0027,48.3319,51.6895,46.7773,16.909,11.5045,14.8186,24.4516
2019-07-12,3.754,,29.4454,48.0175,51.8767,45.9242,16.584,11.2558,14.6003,23.678
2019-07-15,3.852,,29.3647,47.4478,51.0392,46.0105,16.3929,10.9195,14.8086,23.2512
2019-07-16,3.66,,29.4777,47.6442,51.7979,46.8253,16.1539,10.9731,14.6698,23.1178
2019-07-17,3.646,,29.397,48.5775,51.5516,46.3172,16.9855,10.9829,14.4912,23.2067
2019-07-18,3.634,,30.1804,47.7425,51.2658,46.7007,16.7274,11.0901,14.3722,23.389
2019-07-19,3.58,,29.397,47.1629,51.66,46.6815,16.4885,11.1096,14.2234,22.8644
2019-07-22,3.584,,29.8977,46.9468,50.251,46.8253,16.3738,11.017,13.8961,22.6599
2019-07-23,3.58,,30.1884,46.5145,49.2657,47.3716,16.1539,11.0072,13.9457,22.7044
2019-07-24,3.654,,30.1642,46.2395,49.3642,46.2022,16.1061,11.212,13.7374,22.9533
2019-07-25,3.56,,29.2355,46.0626,48.9208,46.0297,16.8326,11.1096,13.6085,23.0156
2019-07-26,3.552,,29.7604,45.9742,49.443,46.1159,17.2053,11.3875,13.6481,22.9
2019-07-29,3.532,,29.8815,46.4163,49.177,46.5856,17.4443,11.5387,13.787,22.9845
2019-07-30,3.568,,28.8882,47.379,49.1474,47.1416,17.6928,11.7442,13.9755,23.0022
2019-07-31,3.52,,28.121,47.2415,49.6499,47.3525,17.2436,11.6562,13.6382,23.1623
2019-08-01,3.43,,28.1816,47.5362,51.2166,48.0906,17.0906,11.4653,13.3903,23.5179
2019-08-02,3.56,,28.2219,47.4871,50.5958,48.1672,17.32,11.617,13.4597,23.5846
2019-08-05,3.524,,27.8341,46.4163,49.9849,47.4483,17.32,11.4017,12.9935,23.0645
2019-08-06,3.52,,28.6744,47.1531,51.2658,47.3333,17.1289,11.6953,12.9836,23.4424
2019-08-07,3.486,,29.7328,47.3986,49.7583,47.2183,17.4443,11.8959,12.8646,24.1181
2019-08-08,3.496,,29.8944,47.6737,50.1623,48.311,17.4634,11.9596,13.2812,24.3449
